InvoiceNo,StockCode,Description,Quantity,InvoiceDate,UnitPrice,CustomerID,Country
541709,22722,SET OF 6 SPICE TINS PANTRY DESIGN,4,2011-01-21 11:09:00,3.95,17504.0,United Kingdom
545665,22525,CHILDRENS GARDEN GLOVES PINK,10,2011-03-04 15:20:00,1.25,17535.0,United Kingdom
545080,20723,STRAWBERRY CHARLOTTE BAG,10,2011-02-28 10:33:00,0.85,13004.0,United Kingdom
573075,23202,JUMBO BAG VINTAGE LEAF,1,2011-10-27 14:04:00,2.08,17545.0,United Kingdom
575076,23108,SET OF 10 LED DOLLY LIGHTS,2,2011-11-08 13:20:00,6.25,16639.0,United Kingdom
571272,23247,BISCUIT TIN 50'S CHRISTMAS,18,2011-10-16 12:19:00,2.89,13878.0,United Kingdom
550777,21084,SET/6 COLLAGE PAPER CUPS,24,2011-04-20 13:35:00,0.19,16558.0,United Kingdom
562553,82581,TOILET METAL SIGN,1,2011-08-05 16:34:00,1.25,,United Kingdom
569653,16008,SMALL FOLDING SCISSOR(POINTED EDGE),24,2011-10-05 12:52:00,0.12,12451.0,Switzerland
572312,21485,RETROSPOT HEART HOT WATER BOTTLE,1,2011-10-23 15:47:00,4.95,15022.0,United Kingdom
575136,85049E,SCANDINAVIAN REDS RIBBONS,12,2011-11-08 14:53:00,1.25,15103.0,United Kingdom
556483,21175,GIN + TONIC DIET METAL SIGN,1,2011-06-12 13:12:00,2.55,14823.0,United Kingdom
C554849,21231,SWEETHEART CERAMIC TRINKET BOX,-1,2011-05-26 19:58:00,1.06,17865.0,United Kingdom
558774,22280,POCKET BAG PINK PAISELY BROWN SPOT,3,2011-07-04 10:17:00,0.83,,United Kingdom
578270,22723,SET OF 6 HERB TINS SKETCHBOOK,1,2011-11-23 13:39:00,8.29,14096.0,United Kingdom
573413,82482,WOODEN PICTURE FRAME WHITE FINISH,1,2011-10-30 16:12:00,2.95,15444.0,United Kingdom
550953,22161,HEART DECORATION RUSTIC HANGING ,2,2011-04-21 16:17:00,0.79,,United Kingdom
576514,22689,DOORMAT MERRY CHRISTMAS RED ,2,2011-11-15 12:13:00,8.25,13950.0,United Kingdom
C551999,22767,TRIPLE PHOTO FRAME CORNICE ,-1,2011-05-05 15:53:00,9.95,14911.0,EIRE
541948,22091,EMPIRE TISSUE BOX,1,2011-01-24 12:00:00,1.25,15820.0,United Kingdom
581217,23392,SPACEBOY ROCKET LOLLY MAKERS,5,2011-12-08 09:20:00,4.13,,United Kingdom
550157,23199,JUMBO BAG APPLES,6,2011-04-14 15:26:00,2.08,16393.0,United Kingdom
569125,23083,SET 6 PAPER TABLE LANTERN STARS ,6,2011-09-30 13:21:00,3.75,15611.0,United Kingdom
558484,23286,BLUE VINTAGE SPOT BEAKER,16,2011-06-30 10:09:00,0.85,14267.0,United Kingdom
566477,23110,PARISIENNE KEY CABINET ,2,2011-09-13 09:03:00,5.75,14359.0,United Kingdom
560885,21430,SET/3 RED GINGHAM ROSE STORAGE BOX,4,2011-07-21 16:20:00,3.75,16188.0,United Kingdom
572569,22943,CHRISTMAS LIGHTS 10 VINTAGE BAUBLES,4,2011-10-25 10:32:00,4.95,17870.0,United Kingdom
562843,72586,SET OF 6 HALLOWEEN GHOST T-LIGHTS,3,2011-08-09 17:37:00,0.83,,United Kingdom
567341,23200,JUMBO BAG PEARS,10,2011-09-19 15:04:00,2.08,14961.0,United Kingdom
565682,47559B,TEA TIME OVEN GLOVE,6,2011-09-06 10:42:00,1.25,14796.0,United Kingdom
581376,70006,LOVE HEART POCKET WARMER,4,2011-12-08 12:43:00,0.79,14719.0,United Kingdom
573897,35953,FOLKART STAR CHRISTMAS DECORATIONS,24,2011-11-01 14:29:00,0.39,16729.0,United Kingdom
551516,21868,POTTING SHED TEA MUG,1,2011-05-01 11:10:00,1.25,14800.0,United Kingdom
547547,22135,MINI LADLE LOVE HEART PINK,2,2011-03-23 15:30:00,0.83,,United Kingdom
572289,23469,CARD HOLDER LOVE BIRD SMALL,2,2011-10-23 12:37:00,4.15,13782.0,United Kingdom
539840,16045,POPART WOODEN PENCILS ASST,100,2010-12-22 14:28:00,0.12,12383.0,Belgium
561195,22094,RED RETROSPOT TISSUE BOX,4,2011-07-25 13:57:00,0.39,14796.0,United Kingdom
571441,22993,SET OF 4 PANTRY JELLY MOULDS,1,2011-10-17 13:31:00,2.46,14096.0,United Kingdom
570167,20725,LUNCH BAG RED RETROSPOT,10,2011-10-07 14:04:00,1.65,15615.0,United Kingdom
563745,22173,METAL 4 HOOK HANGER FRENCH CHATEAU,8,2011-08-19 09:38:00,2.95,15159.0,United Kingdom
C541863,21932,SCANDINAVIAN PAISLEY PICNIC BAG,-1,2011-01-23 16:08:00,2.55,13798.0,United Kingdom
546465,82582,AREA PATROLLED METAL SIGN,6,2011-03-14 10:57:00,2.1,14395.0,United Kingdom
566566,21564,PINK  HEART SHAPE LOVE BUCKET ,1,2011-09-13 12:32:00,5.79,14096.0,United Kingdom
577051,85150,LADIES & GENTLEMEN METAL SIGN,1,2011-11-17 14:02:00,2.55,14034.0,United Kingdom
548354,22084,PAPER CHAIN KIT EMPIRE,40,2011-03-30 15:06:00,2.55,15981.0,United Kingdom
558888,23275,SET OF 3 HANGING OWLS OLLIE BEAK,12,2011-07-04 15:29:00,1.25,14056.0,United Kingdom
554349,23201,JUMBO BAG ALPHABET,10,2011-05-24 08:49:00,2.08,14191.0,United Kingdom
563019,20886,BOX OF 9 PEBBLE CANDLES,16,2011-08-11 12:58:00,1.95,17340.0,United Kingdom
555533,90209C,PINK ENAMEL+GLASS HAIR COMB,36,2011-06-05 12:12:00,1.75,15722.0,United Kingdom
547200,72741,GRAND CHOCOLATECANDLE,18,2011-03-21 13:01:00,1.45,16036.0,United Kingdom
580757,84029G,KNITTED UNION FLAG HOT WATER BOTTLE,4,2011-12-06 10:27:00,4.25,13709.0,United Kingdom
571508,23171,REGENCY TEA PLATE GREEN ,1,2011-10-17 15:27:00,3.29,,United Kingdom
540418,72816,SET/3 CHRISTMAS DECOUPAGE CANDLES,1,2011-01-07 11:04:00,2.51,,United Kingdom
552514,22412,METAL SIGN NEIGHBOURHOOD WITCH ,1,2011-05-09 16:30:00,4.13,,United Kingdom
569666,21755,LOVE BUILDING BLOCK WORD,3,2011-10-05 13:36:00,6.25,17690.0,United Kingdom
572081,23326,HANGING MINI COLOURED BOTTLES,48,2011-10-20 14:13:00,0.63,16592.0,United Kingdom
566602,22565,FELTCRAFT HAIRBANDS PINK AND WHITE ,1,2011-09-13 16:05:00,1.63,,United Kingdom
576075,85049E,SCANDINAVIAN REDS RIBBONS,3,2011-11-13 16:16:00,1.25,15861.0,United Kingdom
C556414,22327,ROUND SNACK BOXES SET OF 4 SKULLS,-2,2011-06-10 12:14:00,2.95,13985.0,United Kingdom
544466,85078,SCANDINAVIAN 3 HEARTS NAPKIN RING,3,2011-02-20 15:43:00,0.65,14606.0,United Kingdom
556365,85099F,JUMBO BAG STRAWBERRY,1,2011-06-10 11:44:00,2.08,16370.0,United Kingdom
579196,22629,SPACEBOY LUNCH BOX ,1,2011-11-28 15:54:00,4.13,14096.0,United Kingdom
564734,22276,WASH BAG VINTAGE ROSE PAISLEY,2,2011-08-28 13:32:00,2.55,12484.0,Spain
544368,21723,ALPHABET HEARTS STICKER SHEET,6,2011-02-18 11:27:00,0.85,14057.0,United Kingdom
550462,20723,STRAWBERRY CHARLOTTE BAG,10,2011-04-18 13:22:00,0.85,16458.0,United Kingdom
581476,23293,SET OF 12 FAIRY CAKE BAKING CASES,32,2011-12-09 08:48:00,0.83,12433.0,Norway
574049,23032,DRAWER KNOB CRACKLE GLAZE IVORY,6,2011-11-02 13:40:00,1.65,13316.0,United Kingdom
562276,22386,JUMBO BAG PINK POLKADOT,10,2011-08-04 10:23:00,2.08,17735.0,United Kingdom
541213,22423,REGENCY CAKESTAND 3 TIER,4,2011-01-14 13:28:00,12.75,15033.0,United Kingdom
559068,21668,RED STRIPE CERAMIC DRAWER KNOB,2,2011-07-06 10:41:00,1.25,17841.0,United Kingdom
555263,15034,PAPER POCKET TRAVELING FAN ,24,2011-06-01 15:47:00,0.14,15192.0,United Kingdom
560772,23035,DRAWER KNOB CERAMIC IVORY,1,2011-07-20 16:12:00,3.29,,United Kingdom
544772,21558,SKULL LUNCH BOX WITH CUTLERY ,1,2011-02-23 11:12:00,4.96,,United Kingdom
558774,21494,ROTATING LEAVES T-LIGHT HOLDER,3,2011-07-04 10:17:00,1.63,,United Kingdom
580754,23168,CLASSIC CAFE SUGAR DISPENSER,1,2011-12-06 10:05:00,6.54,,United Kingdom
564818,22494,EMERGENCY FIRST AID TIN ,1,2011-08-30 12:10:00,2.46,,United Kingdom
539030,35961,FOLKART ZINC HEART CHRISTMAS DEC,48,2010-12-15 14:25:00,0.85,13089.0,United Kingdom
571307,23354,6 GIFT TAGS 50'S CHRISTMAS ,12,2011-10-17 10:10:00,0.83,14443.0,United Kingdom
576378,23322,LARGE WHITE HEART OF WICKER,12,2011-11-15 09:15:00,2.95,15628.0,United Kingdom
580730,23426,METAL SIGN DROP YOUR PANTS,1,2011-12-05 17:28:00,5.79,,United Kingdom
539737,22358,KINGS CHOICE TEA CADDY ,1,2010-12-21 15:19:00,5.91,,United Kingdom
544681,21891,TRADITIONAL WOODEN SKIPPING ROPE,1,2011-02-22 16:28:00,2.46,,United Kingdom
562932,22999,TRAVEL CARD WALLET VINTAGE LEAF,24,2011-08-10 16:39:00,0.42,16904.0,United Kingdom
568696,23405,HOME SWEET HOME 2 DRAWER CABINET,4,2011-09-28 14:56:00,4.95,13842.0,United Kingdom
556728,22441,GROW YOUR OWN BASIL IN ENAMEL MUG,2,2011-06-14 11:36:00,2.1,15719.0,United Kingdom
545897,84946,ANTIQUE SILVER TEA GLASS ETCHED,2,2011-03-07 17:22:00,2.46,,United Kingdom
576618,23084,RABBIT NIGHT LIGHT,37,2011-11-15 17:00:00,4.13,,United Kingdom
571544,22676,FRENCH BLUE METAL DOOR SIGN 1,2,2011-10-17 16:53:00,1.25,17757.0,United Kingdom
544335,22077,6 RIBBONS RUSTIC CHARM,4,2011-02-17 19:21:00,1.65,14702.0,United Kingdom
538524,22227,HANGING HEART MIRROR DECORATION ,1,2010-12-13 09:35:00,1.28,,United Kingdom
560245,22992,REVOLVER WOODEN RULER ,2,2011-07-17 12:15:00,1.95,,Switzerland
578827,22187,GREEN CHRISTMAS TREE CARD HOLDER,1,2011-11-25 14:25:00,8.29,,United Kingdom
569544,20657,TROPICAL LUGGAGE TAG,1,2011-10-04 16:33:00,2.46,,United Kingdom
547945,21456,2 PICTURE BOOK EGGS EASTER CHICKS,12,2011-03-28 14:59:00,1.25,14851.0,United Kingdom
544915,22041,"RECORD FRAME 7"" SINGLE SIZE ",18,2011-02-24 15:41:00,2.1,13777.0,United Kingdom
550458,85202,HANGING WOOD AND FELT HEART,1,2011-04-18 13:13:00,0.79,,United Kingdom
559816,90003D,CRYSTAL PAIR HEART HAIR SLIDES,2,2011-07-12 16:11:00,3.73,,United Kingdom
539742,21888,BINGO SET,1,2010-12-21 15:20:00,7.62,,United Kingdom
570592,22423,REGENCY CAKESTAND 3 TIER,2,2011-10-11 11:37:00,24.96,,United Kingdom
537237,22534,MAGIC DRAWING SLATE SPACEBOY ,4,2010-12-06 09:58:00,0.85,,United Kingdom
552963,84991,60 TEATIME FAIRY CAKE CASES,12,2011-05-12 12:57:00,0.55,16743.0,United Kingdom
543828,21781,MA CAMPAGNE CUTLERY BOX,4,2011-02-14 09:45:00,14.95,14156.0,EIRE
568801,22578,WOODEN STAR CHRISTMAS SCANDINAVIAN,24,2011-09-29 10:46:00,0.29,14475.0,United Kingdom
567385,21200,MULTICOLOUR HONEYCOMB PAPER GARLAND,144,2011-09-20 10:27:00,1.45,14866.0,United Kingdom
546466,22382,LUNCH BAG SPACEBOY DESIGN ,1,2011-03-14 11:04:00,1.65,18118.0,United Kingdom
579287,22791,T-LIGHT GLASS FLUTED ANTIQUE,12,2011-11-29 10:58:00,1.25,13496.0,United Kingdom
556443,POST,POSTAGE,4,2011-06-10 15:28:00,18.0,12712.0,Germany
540149,84992,72 SWEETHEART FAIRY CAKE CASES,24,2011-01-05 11:00:00,0.55,12921.0,United Kingdom
558058,23301,GARDENERS KNEELING PAD KEEP CALM ,12,2011-06-24 15:00:00,1.65,14766.0,United Kingdom
578101,84946,ANTIQUE SILVER T-LIGHT GLASS,24,2011-11-23 08:39:00,1.25,13089.0,United Kingdom
569901,23254,CHILDRENS CUTLERY DOLLY GIRL ,1,2011-10-06 16:20:00,4.15,12923.0,United Kingdom
579512,22219,LOVEBIRD HANGING DECORATION WHITE ,1,2011-11-29 16:47:00,1.63,,United Kingdom
575491,22633,HAND WARMER UNION JACK,1,2011-11-09 17:47:00,2.1,15531.0,United Kingdom
549328,51008,,-110,2011-04-08 10:49:00,0.0,,United Kingdom
561651,47593B,SCOTTIE DOGS BABY BIB,2,2011-07-28 15:36:00,0.83,,United Kingdom
557938,21238,RED RETROSPOT CUP,2,2011-06-23 15:35:00,1.63,,United Kingdom
579560,23209,LUNCH BAG VINTAGE DOILY ,2,2011-11-30 11:31:00,1.65,15039.0,United Kingdom
567140,22549,PICTURE DOMINOES,24,2011-09-16 14:47:00,1.45,15410.0,United Kingdom
559813,22907,PACK OF 20 NAPKINS PANTRY DESIGN,36,2011-07-12 15:42:00,0.85,18272.0,United Kingdom
575607,21098,CHRISTMAS TOILET ROLL,8,2011-11-10 12:37:00,2.46,14096.0,United Kingdom
538177,21832,CHOCOLATE CALCULATOR,1,2010-12-10 09:51:00,3.36,,United Kingdom
559521,23256,CHILDRENS CUTLERY SPACEBOY ,5,2011-07-08 16:26:00,4.15,,Unspecified
571215,21669,BLUE STRIPE CERAMIC DRAWER KNOB,12,2011-10-14 12:57:00,1.45,13810.0,Germany
552667,15056n,EDWARDIAN PARASOL NATURAL,1,2011-05-10 15:05:00,12.46,,United Kingdom
539336,85061W,WHITE JEWELLED HEART DECORATION,24,2010-12-17 10:34:00,0.85,17790.0,United Kingdom
545150,22365,DOORMAT RESPECTABLE HOUSE,2,2011-02-28 12:27:00,7.95,14227.0,United Kingdom
540646,20733,GOLD MINI TAPE MEASURE ,2,2011-01-10 14:32:00,0.85,,United Kingdom
564840,22683,FRENCH BLUE METAL DOOR SIGN 8,3,2011-08-30 12:49:00,2.46,,United Kingdom
541795,22961,JAM MAKING SET PRINTED,6,2011-01-21 13:47:00,1.45,14692.0,United Kingdom
573093,23349,ROLL WRAP VINTAGE CHRISTMAS,2,2011-10-27 14:38:00,1.25,18283.0,United Kingdom
551560,23161,REGENCY CAKE FORK,120,2011-05-03 10:43:00,1.04,16133.0,United Kingdom
576062,84375,SET OF 20 KIDS COOKIE CUTTERS,3,2011-11-13 15:30:00,2.1,12867.0,United Kingdom
548468,21812,GARLAND WITH HEARTS AND BELLS,2,2011-03-31 12:28:00,4.95,14818.0,United Kingdom
539466,37448,CERAMIC CAKE DESIGN SPOTTED MUG,12,2010-12-19 12:46:00,1.49,12668.0,Germany
571913,22730,ALARM CLOCK BAKELIKE IVORY,4,2011-10-19 15:29:00,3.75,18210.0,United Kingdom
579946,22728,ALARM CLOCK BAKELIKE PINK,1,2011-12-01 10:44:00,3.75,15993.0,United Kingdom
572103,23554,LANDMARK FRAME OXFORD STREET,1,2011-10-20 15:57:00,12.5,17571.0,United Kingdom
556408,85152,HAND OVER THE CHOCOLATE   SIGN ,1,2011-06-10 11:54:00,2.1,13533.0,United Kingdom
569556,22805,BLUE DRAWER KNOB ACRYLIC EDWARDIAN,12,2011-10-05 08:50:00,1.25,14936.0,Channel Islands
562219,22497,SET OF 2 TINS VINTAGE BATHROOM ,4,2011-08-03 14:14:00,4.25,15089.0,United Kingdom
551085,20979,36 PENCILS TUBE RED RETROSPOT,16,2011-04-26 12:29:00,1.25,14854.0,United Kingdom
558098,21232,STRAWBERRY CERAMIC TRINKET BOX,12,2011-06-26 13:31:00,1.25,18044.0,United Kingdom
537606,22158,3 HEARTS HANGING DECORATION RUSTIC,8,2010-12-07 13:16:00,2.95,15002.0,United Kingdom
576384,23526,DOG LICENCE WALL ART,4,2011-11-15 09:32:00,5.95,12883.0,United Kingdom
552234,21790,VINTAGE SNAP CARDS,1,2011-05-06 16:01:00,1.63,,United Kingdom
545475,22846,BREAD BIN DINER STYLE RED ,16,2011-03-03 10:59:00,14.95,12415.0,Australia
572662,22580,ADVENT CALENDAR GINGHAM SACK,2,2011-10-25 12:54:00,5.95,15443.0,United Kingdom
569129,23379,PACK OF 12 RED APPLE TISSUES,12,2011-09-30 13:40:00,0.39,15034.0,United Kingdom
547571,22383,LUNCH BAG SUKI DESIGN ,10,2011-03-24 09:52:00,1.65,16265.0,United Kingdom
567183,23341,PINK DINER WALL CLOCK,1,2011-09-18 15:32:00,8.5,14769.0,United Kingdom
552269,23206,LUNCH BAG APPLE DESIGN,1,2011-05-08 11:52:00,1.65,16121.0,United Kingdom
537219,22866,HAND WARMER SCOTTY DOG DESIGN,2,2010-12-05 15:47:00,2.1,14081.0,United Kingdom
575177,22587,FELTCRAFT HAIRBAND RED AND BLUE,2,2011-11-08 18:41:00,1.63,,United Kingdom
564346,21179,NO JUNK MAIL METAL SIGN,48,2011-08-24 14:54:00,0.39,15727.0,United Kingdom
572743,22577,WOODEN HEART CHRISTMAS SCANDINAVIAN,10,2011-10-25 16:13:00,0.29,14482.0,United Kingdom
565117,22361,GLASS JAR DAISY FRESH COTTON WOOL,6,2011-09-01 11:33:00,2.95,13089.0,United Kingdom
560547,23342,MINT DINER WALL CLOCK,2,2011-07-19 12:39:00,8.5,17419.0,United Kingdom
540957,22571,ROCKING HORSE RED CHRISTMAS ,20,2011-01-12 13:30:00,0.85,15311.0,United Kingdom
568393,22080,RIBBON REEL POLKADOTS ,10,2011-09-27 10:12:00,1.65,15754.0,United Kingdom
536544,85232B,SET OF 3 BABUSHKA STACKING TINS,1,2010-12-01 14:32:00,4.95,,United Kingdom
580024,21615,4 LAVENDER BOTANICAL DINNER CANDLES,12,2011-12-01 11:51:00,1.25,15172.0,United Kingdom
540364,21876,POTTERING MUG,1,2011-01-06 16:03:00,1.25,14505.0,United Kingdom
564256,21495,SKULLS AND CROSSBONES WRAP,25,2011-08-24 10:45:00,0.42,14796.0,United Kingdom
565439,22670,FRENCH WC SIGN BLUE METAL,12,2011-09-04 13:56:00,1.25,14852.0,United Kingdom
555526,23199,JUMBO BAG APPLES,100,2011-06-05 11:42:00,1.79,14364.0,United Kingdom
561209,22961,JAM MAKING SET PRINTED,3,2011-07-25 16:57:00,3.29,,United Kingdom
576920,23312,VINTAGE CHRISTMAS GIFT SACK,4,2011-11-17 10:49:00,4.15,13871.0,United Kingdom
569700,23215,JINGLE BELL HEART ANTIQUE SILVER,1,2011-10-05 15:56:00,4.13,,United Kingdom
546417,22749,FELTCRAFT PRINCESS CHARLOTTE DOLL,4,2011-03-13 10:48:00,3.75,14800.0,United Kingdom
568204,23370,SET 36 COLOURING PENCILS DOILY,16,2011-09-25 15:25:00,1.25,13670.0,United Kingdom
537369,22867,HAND WARMER BIRD DESIGN,1,2010-12-06 12:41:00,2.1,17860.0,United Kingdom
580055,21928,JUMBO BAG SCANDINAVIAN BLUE PAISLEY,20,2011-12-01 13:12:00,1.79,14298.0,United Kingdom
580983,22163,HEART STRING MEMO HOLDER HANGING,2,2011-12-06 16:26:00,1.63,,United Kingdom
567873,85032D,YULETIDE IMAGES GIFT WRAP SET,12,2011-09-22 14:25:00,0.65,13055.0,United Kingdom
559289,22377,BOTTLE BAG RETROSPOT ,2,2011-07-07 12:22:00,2.1,15719.0,United Kingdom
568547,84029G,KNITTED UNION FLAG HOT WATER BOTTLE,3,2011-09-27 14:37:00,4.25,15568.0,United Kingdom
581252,22150,3 STRIPEY MICE FELTCRAFT,12,2011-12-08 11:02:00,1.95,14129.0,United Kingdom
539484,22690,DOORMAT HOME SWEET HOME BLUE ,1,2010-12-19 15:44:00,7.95,15640.0,United Kingdom
550001,85123A,WHITE HANGING HEART T-LIGHT HOLDER,18,2011-04-14 09:28:00,2.95,17704.0,United Kingdom
551003,72024U,LILAC VOTIVE CANDLE,24,2011-04-26 09:44:00,0.21,16456.0,United Kingdom
581404,21166,COOK WITH WINE METAL SIGN ,6,2011-12-08 13:47:00,2.08,13680.0,United Kingdom
576617,21328,BALLOONS  WRITING SET ,1,2011-11-15 16:57:00,3.29,,United Kingdom
553005,22460,EMBOSSED GLASS TEALIGHT HOLDER,4,2011-05-12 16:29:00,1.25,14651.0,United Kingdom
569815,22866,HAND WARMER SCOTTY DOG DESIGN,288,2011-10-06 11:53:00,1.79,15838.0,United Kingdom
538886,22562,MONSTERS STENCIL CRAFT,12,2010-12-14 16:07:00,1.25,13846.0,United Kingdom
579297,22776,SWEETHEART 3 TIER CAKE STAND ,1,2011-11-29 11:23:00,19.96,,United Kingdom
553462,23170,REGENCY TEA PLATE ROSES ,12,2011-05-17 10:57:00,1.65,17147.0,United Kingdom
572330,82613C,"METAL SIGN,CUPCAKE SINGLE HOOK",1,2011-10-24 10:17:00,1.25,16426.0,United Kingdom
564133,22192,BLUE DINER WALL CLOCK,2,2011-08-23 11:01:00,8.5,14364.0,United Kingdom
555471,21329,DINOSAURS  WRITING SET ,1,2011-06-03 11:42:00,1.65,16117.0,United Kingdom
559746,21621,VINTAGE UNION JACK BUNTING,1,2011-07-12 11:16:00,8.5,16515.0,United Kingdom
548516,21442,GREEN BIRDHOUSE DECORATION,1,2011-03-31 16:28:00,1.63,,United Kingdom
C555935,22628,PICNIC BOXES SET OF 3 RETROSPOT ,-4,2011-06-08 09:14:00,4.95,12567.0,France
572514,20774,,-4,2011-10-24 14:36:00,0.0,,United Kingdom
578653,85123A,WHITE HANGING HEART T-LIGHT HOLDER,12,2011-11-24 16:40:00,2.95,18161.0,United Kingdom
573137,22703,PINK CAT BOWL,2,2011-10-27 17:15:00,1.63,,United Kingdom
546778,82599,FANNY'S REST STOPMETAL SIGN,12,2011-03-16 16:38:00,2.1,14572.0,United Kingdom
565849,23013,GLASS APOTHECARY BOTTLE TONIC,12,2011-09-07 12:50:00,3.45,14309.0,United Kingdom
567892,23170,REGENCY TEA PLATE ROSES ,12,2011-09-22 15:51:00,1.65,15394.0,United Kingdom
541131,22842,BISCUIT TIN VINTAGE RED,1,2011-01-14 10:16:00,13.29,,United Kingdom
541423,22074,6 RIBBONS SHIMMERING PINKS ,10,2011-01-17 17:54:00,0.83,,United Kingdom
549546,22423,REGENCY CAKESTAND 3 TIER,4,2011-04-10 11:24:00,12.75,16889.0,United Kingdom
578041,22629,SPACEBOY LUNCH BOX ,1,2011-11-22 14:23:00,1.95,17338.0,United Kingdom
552864,47599B,BLUE PARTY BAGS ,4,2011-05-11 17:13:00,2.1,13235.0,United Kingdom
545217,20724,RED RETROSPOT CHARLOTTE BAG,1,2011-02-28 16:59:00,1.63,,United Kingdom
570862,23345, DOLLY GIRL BEAKER,12,2011-10-12 15:35:00,1.25,17528.0,United Kingdom
573580,47566b,TEA TIME PARTY BUNTING,2,2011-10-31 14:21:00,8.29,,United Kingdom
556017,23199,JUMBO BAG APPLES,10,2011-06-08 11:56:00,2.08,15382.0,United Kingdom
559038,21673,WHITE SPOT BLUE CERAMIC DRAWER KNOB,15,2011-07-05 15:31:00,2.46,,United Kingdom
546580,22411,JUMBO SHOPPER VINTAGE RED PAISLEY,10,2011-03-15 11:09:00,1.95,14911.0,EIRE
545445,22302,COFFEE MUG PEARS  DESIGN,6,2011-03-02 16:26:00,2.55,17738.0,United Kingdom
545084,21829,DINOSAUR KEYRINGS ASSORTED,72,2011-02-28 10:55:00,0.21,12458.0,Switzerland
537346,22732,3D VINTAGE CHRISTMAS STICKERS ,18,2010-12-06 12:21:00,1.25,15301.0,United Kingdom
560773,23293,SET OF 12 FAIRY CAKE BAKING CASES,1,2011-07-20 16:17:00,2.46,,United Kingdom
578270,22737,RIBBON REEL CHRISTMAS PRESENT ,8,2011-11-23 13:39:00,3.29,14096.0,United Kingdom
541504,21533,RETROSPOT LARGE MILK JUG,2,2011-01-18 15:37:00,4.95,14415.0,United Kingdom
547666,21874,GIN AND TONIC MUG,12,2011-03-24 13:23:00,1.25,14235.0,United Kingdom
C563600,21584,RETROSPOT SMALL TUBE MATCHES,-1,2011-08-18 06:24:00,1.65,14911.0,EIRE
547809,22523,CHILDS GARDEN FORK PINK,2,2011-03-25 13:54:00,0.85,12748.0,United Kingdom
581580,22721,SET OF 3 CAKE TINS SKETCHBOOK,1,2011-12-09 12:20:00,1.95,12748.0,United Kingdom
568346,22809,SET OF 6 T-LIGHTS SANTA,3,2011-09-26 15:28:00,5.79,14096.0,United Kingdom
553709,22699,ROSES REGENCY TEACUP AND SAUCER ,6,2011-05-18 15:29:00,2.95,13767.0,United Kingdom
564166,23267,SET OF 4 SANTA PLACE SETTINGS,12,2011-08-23 13:40:00,1.25,15089.0,United Kingdom
568702,84199,GLOW IN DARK DOLPHINS,1,2011-09-28 15:18:00,0.21,17950.0,United Kingdom
563847,22558,CLOTHES PEGS RETROSPOT PACK 24 ,12,2011-08-19 14:49:00,1.65,16139.0,United Kingdom
552977,35924,HANGING FAIRY CAKE DECORATION,6,2011-05-12 14:13:00,2.1,18221.0,United Kingdom
548711,22558,CLOTHES PEGS RETROSPOT PACK 24 ,1,2011-04-03 14:24:00,1.65,18116.0,United Kingdom
565579,21931,JUMBO STORAGE BAG SUKI,1,2011-09-05 12:35:00,2.08,18283.0,United Kingdom
551275,21212,PACK OF 72 RETROSPOT CAKE CASES,24,2011-04-27 13:03:00,0.55,13285.0,United Kingdom
